Family,Species,Author
Aspleniaceae,Asplenium pearcei,Bak.
Athyriaceae,Diplazium tungurahuae,(Sod.) C. Chr.
Blechnaceae,Salpichlaena papyrus,"G.G.Cárdenas, Tuomisto & Lehtonen"
Cyatheaceae,Cyathea cf. tortuosa,
Dennstaedtiaceae,Dennstaedtia obtusifolia,(Willd.) T.Moore
Dryopteridaceae,Elaphoglossum flaccidum,(Fée ex E.Fourn.) T.Moore
Dryopteridaceae,Mickelia lindigii,"(Mett.) R.C.Moran, Labiak & Sundue"
Dryopteridaceae,Olfersia cervina,(L.) Kunze
Dryopteridaceae,Polybotrya crassirhizoma,Lellinger
Dryopteridaceae,Polybotrya osmundaceae,Humb. & Bonpl. ex Willd.
Marattiaceae,Danaea nodosa,(L.) Sm.
Metaxyaceae,Metaxya rostrata,(Kunth) C.Presl
Nephrolepidaceae,Nephrolepis rivularis,(Vahl) Mett. ex Krug
Nephrolepidaceae,Nephrolepsis sp.1,
Polypodiaceae,Campyloneurum fuscosquamatum,Lellinger
Polypodiaceae,Microgramma dictyophylla,(Kunze ex Mett.) de la Sota
Polypodiaceae,Microgramma sp.4,
Polypodiaceae,Serpocaulon adnatum,(Kunze ex Klotzsch) A.R.Sm.
Polypodiaceae,Serpocaulon caceresii,(Sodiro) A.R.Sm.
Polypodiaceae,Serpocaulon fraxinifolium,(Jacq.) A.R.Sm.
Polypodiaceae,Serpocaulon maritimum,(Hieron.) A.R.Sm.
Polypodiaceae,Serpocaulon sp.1,
Pteridaceae,Adiantum humile,Kunze
Pteridaceae,Ananthacorus angustifolius ,(Sw.) Underw. & Maxon
Pteridaceae,Polytaenium citrifolium,(L.) Schuettp.
Selaginellaceae,Selaginella exaltata,(Kunze) Spring
Selaginellaceae,Selaginella haematoides,(Kunze) Spring
Selaginellaceae,Selaginella pedata,Klotzsch
Selaginellaceae,Selaginella sp.2,
Tectariaceae,Tectaria andina,(Baker) C.Chr.
Thelypteridaceae,Thelypteris arborescens,(Humb. & Bonpl. ex Willd.) C.V.Morton
Thelypteridaceae,Thelypteris sp.1,
Blechnaceae,Lomariocycas aurata,(Fée) Gasper & A.R.Sm.
Blechnaceae,Parablechnum sp.5,
Dennstaedtiaceae,Pteridium sp.1,
Dryopteridaceae,Elaphoglossum cf. latifolium,
Dryopteridaceae,Elaphoglossum gayanum,(Fée) Moore
Dryopteridaceae,Elaphoglossum ovatum,(Hook. & Grev.) Moore
Dryopteridaceae,Elaphoglossum wardiae,Mickel
Dryopteridaceae,Elaphoglossum yatesii,(Sodiro) Christ
Hymenophyllaceae,Trichomanes sp.3,
Lindsaeaceae,Jamesonia cheilanthoides,(Sw.) Christenh.
Polypodiaceae,Melpomene flabelliformis,(Poir.) A.R.Sm. & R.C.Moran
Polypodiaceae,Melpomene zempoaltepetlensis,(Mickel & Beitel) A.R.Sm.
Polypodiaceae,Serpocaulon eleutherophlebium,(Fée) A.R.Sm.
Thelypteridaceae,Amauropelta caucaensis,(Hieron.) A.R.Sm.
Thelypteridaceae,Amauropelta pachyrachis,(Kunze ex Mett.) Salino & T.E.Almeida
Blechnaceae,Blechnum sp.3,
Blechnaceae,Blechnum sp.4,
Dryopteridaceae,Elaphoglossum sp.10,
Lindsaeaceae,Jamesonia goudotii,(Hieron.) C.Chr.
Lycopodiaceae,Huperzia sp.1,
Polypodiaceae,Mycopteris sp.1,
Pteridaceae,Astrolepis sp.2,
Dryopteridaceae,Elaphoglossum cf. paleaceum,
Lycopodiaceae,Phlegmariurus cumingii/Lycopodium clavatum,
Lycopodiaceae,Phlegmariurus crassus,(Humb. & Bonpl. ex Willd.) B.Øllg.
Aspleniaceae,Asplenium cf. miradorense,
Aspleniaceae,Asplenium sp.1,
Aspleniaceae,Asplenium sp.2,
Athyriaceae,Diplazium sp.1,
Athyriaceae,Diplazium sp.2,
Blechnaceae,Salpichlaena volubilis,(Kaulf.) J.Sm.
Cyatheaceae,Alsophila cuspidata,(Kunze) D.S.Conant
Cyatheaceae,Cyathea gibbosa,(Klotzsch) Domin
Cyatheaceae,Cyathea sp.4,
Dennstaedtiaceae,Dennstaedtia sp.3,
Hymenophyllaceae,Trichomanes elegans,Rich.
Marattiaceae,Danaea moritziana,C.Presl
NA,indet sp.10,
Polypodiaceae,Pecluma dulcis,(Poir.) F.C.Assis & Salino
Pteridaceae,Pteris propinqua,J.Agardh
Selaginellaceae,Selaginella sp.7,
Thelypteridaceae,Thelypteris sp.3,
Thelypteridaceae,Thelypteris sp.4,
Aspleniaceae,Asplenium juglandifolium,Lam.
Aspleniaceae,Asplenium serratum,L.
Blechnaceae,Lomaridium ensiforme,(Liebm.) Gasper & V.A.O.Dittrich
Cyatheaceae,Cyathea sp.2,
Dryopteridaceae,Elaphoglossum cf. nigrescens,
Dryopteridaceae,Elaphoglossum luridum,(Fée) Christ
Dryopteridaceae,Elaphoglossum plumosum,(Fée) Moore
Dryopteridaceae,Polybotrya caudata,Kunze
Nephrolepidaceae,Nephrolepsis sp.3,
Polypodiaceae,Campyloneurum sp.3,
Polypodiaceae,Campyloneurum sp.4,
Polypodiaceae,Serpocaulon cf. loriceum,
Polypodiaceae,Serpocaulon dasypleuron,(Kunze) A.R.Sm.
Polypodiaceae,Serpocaulon sp.2,
Saccolomataceae,Saccoloma sp.2,
Selaginellaceae,Selaginella sp.5,
Tectariaceae,Tectaria sp.3,
Cyatheaceae,Cyathea cf. sp.7,
Cyatheaceae,Cyathea sp.7,
Dryopteridaceae,Elaphoglossum sp.4,
Dryopteridaceae,Elaphoglossum vagans,(Mett.) Hieron.
Gleicheniaceae,Sticherus bifidus,(Willd.) Ching
Hymenophyllaceae,Trichomanes accedens,C.Presl
Lomariopsidaceae,Lomariopsis sp.1,
NA,indet sp.5,
NA,indet sp.7,
NA,indet sp.8,
Polypodiaceae,Microgramma sp.1,
Polypodiaceae,Pecluma consimilis,(Eaton ex Mett.) M.G.Price
Polypodiaceae,Serpocaulon concolorum,(M.Kessler & A.R.Sm.) A.R.Sm.
Aspleniaceae,Asplenium cf. laetum,
Athyriaceae,Athyrium ferulaceum,(T.Moore ex Hook.) Christ
Athyriaceae,Diplazium cf. aberrans,
Athyriaceae,Diplazium pinnatifidum,Kunze
Blechnaceae,Blechnum divergens,
Blechnaceae,Blechnum fragile,(Liebm.) C.V.Morton & Lellinger
Blechnaceae,Blechnum sp.1,
Blechnaceae,Blechnum sp.2,
Cyatheaceae,Alsophila sp.1,
Dennstaedtiaceae,Dennstaedtia sp.1,
Dennstaedtiaceae,Dennstaedtia sp.2,
Didymochlaenaceae,Didymochlaena truncatula,(Sw.) J.Sm.
Dryopteridaceae,Elaphoglossum sp.1,
Dryopteridaceae,Megalastrum sp.1,
Dryopteridaceae,Stigmatopteris pellucidopunctata,(C.Chr.) C.Chr.
NA,indet sp.12,
Nephrolepidaceae,Nephrolepsis sp.2,
Polypodiaceae,Campyloneurum cf. coarctatum,
Polypodiaceae,Polypodium sp.2,
Pteridaceae,Pteris sp.1,
Pteridaceae,Pteris sp.2,
Saccolomataceae,Saccoloma elegans,Kaulf.
Selaginellaceae,Selaginella sp.3,
Blechnaceae,Blechnum occidentale,L.
Cyatheaceae,Cyathea sp.3,
Dryopteridaceae,Cyclodium meniscioides,(Willd.) C.Presl
Dryopteridaceae,Elaphoglossum sp.7,
Hymenophyllaceae,Trichomanes sp.2,
Hymenophyllaceae,Trichomanes sp.4,
Lindsaeaceae,Lindsaea divaricata,Klotzsch
NA,indet sp.13,
NA,indet sp.3,
Nephrolepidaceae,Nephrolepsis biserrata,(Sw.) Schott
Oleandraceae,Oleandra articulata,
Polypodiaceae,Campyloneurum phyllitidis,(L.) C.Presl
Polypodiaceae,Microgramma percussa,(Cav.) de la Sota
Polypodiaceae,Microgramma sp.2,
Polypodiaceae,Microgramma sp.3,
Polypodiaceae,Niphidium sp.1,
Polypodiaceae,Phlebodium decumanum,(Willd.) J.Sm.
Selaginellaceae,Selaginella sp.4,
Thelypteridaceae,Thelypteris pennata,(Poir.) C.V.Morton
Thelypteridaceae,Thelypteris sp.2,
